,origin,age,gender,education,job_title,coding_experience,salary,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7
4410,8323,35-39,Man,Doctoral degree,Research Scientist,5-10 years,"125,000-149,999",,,,,,1,
4411,8324,45-49,Man,Bachelor’s degree,Product/Project Manager,20+ years,"250,000-299,999",,,,,,,None of these activities are an important part of my role at work
4412,8327,22-24,Woman,Bachelor’s degree,Software Engineer,1-2 years,"1,000-1,999",,,,,,,None of these activities are an important part of my role at work
4413,8328,45-49,Man,Master’s degree,Product/Project Manager,< 1 years,"40,000-49,999",1,,,,,,
4414,8331,25-29,Man,Master’s degree,Data Scientist,5-10 years,"25,000-29,999",1,,1,,1,,
4415,8332,25-29,Man,Master’s degree,Data Scientist,1-2 years,"4,000-4,999",1,,,,,,
4416,8333,25-29,Man,Master’s degree,Data Analyst,< 1 years,$0-999,1,,,,,,
4419,8339,25-29,Other,Master’s degree,DBA/Database Engineer,5-10 years,"60,000-69,999",,"1",,,,,
4420,8343,22-24,Man,Professional degree,Statistician,< 1 years,$0-999,,,,,,,
4421,8344,45-49,Man,No formal education past high school,Data Analyst,10-20 years,"15,000-19,999",1,,,1,1,1,
4423,8350,22-24,Man,Bachelor’s degree,Machine Learning Engineer,< 1 years,"5,000-7,499",1,,,,,,
4424,8351,45-49,Man,Master’s degree,Software Engineer,20+ years,"25,000-29,999",1,,1,1,,1,
4425,8352,22-24,Woman,Master’s degree,DBA/Database Engineer,3-5 years,"20,000-24,999",,"1",,,,,
4426,8357,25-29,Man,Bachelor’s degree,Data Analyst,1-2 years,"50,000-59,999",1,,,,1,,
4427,8358,35-39,Woman,Doctoral degree,Business Analyst,1-2 years,"2,000-2,999",,,,,,1,
4428,8361,35-39,Woman,Doctoral degree,Data Scientist,1-2 years,"90,000-99,999",1,,1,1,1,,
4429,8364,35-39,Man,Master’s degree,Software Engineer,I have never written code,$0-999,,"1",,,,,
4430,8369,40-44,Man,Doctoral degree,Software Engineer,20+ years,"40,000-49,999",,,1,1,,,
4431,8371,25-29,Man,Bachelor’s degree,Data Scientist,3-5 years,"10,000-14,999",1,"1",1,1,1,,
4432,8372,25-29,Woman,Doctoral degree,Business Analyst,3-5 years,"20,000-24,999",1,,,,1,,
4433,8375,35-39,Woman,Master’s degree,Business Analyst,I have never written code,$0-999,1,,,1,,1,
4434,8378,25-29,Man,Master’s degree,Data Scientist,< 1 years,$0-999,1,"1",1,1,1,1,
4435,8380,45-49,Woman,Doctoral degree,Research Scientist,20+ years,"40,000-49,999",,,1,,,1,
4436,8381,22-24,Man,Bachelor’s degree,Machine Learning Engineer,< 1 years,$0-999,,,,,,,
4437,8385,18-21,Man,Some college/university study without earning a bachelor’s degree,Data Analyst,3-5 years,$0-999,1,"1",1,,1,,
4438,8387,22-24,Woman,Master’s degree,Software Engineer,3-5 years,$0-999,,,,,,,None of these activities are an important part of my role at work
4439,8388,30-34,Man,Doctoral degree,Research Scientist,3-5 years,$0-999,1,"1",,,,,
4442,8391,22-24,Man,Bachelor’s degree,Software Engineer,1-2 years,$0-999,,,1,,,,
4443,8394,45-49,Man,Bachelor’s degree,Software Engineer,20+ years,"40,000-49,999",1,,1,,,,
4444,8395,25-29,Man,Master’s degree,Data Scientist,3-5 years,"40,000-49,999",1,,1,1,1,1,
4445,8396,25-29,Woman,Master’s degree,Software Engineer,1-2 years,$0-999,1,"1",1,1,1,1,
4446,8397,35-39,Man,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,"5,000-7,499",1,,,,,,
4448,8402,30-34,Man,Master’s degree,Data Analyst,3-5 years,"100,000-124,999",1,"1",1,,,,
4449,8403,25-29,Man,Master’s degree,Data Scientist,5-10 years,"15,000-19,999",,,,,,,None of these activities are an important part of my role at work
4450,8404,40-44,Man,Doctoral degree,Research Scientist,1-2 years,"3,000-3,999",,,,,,,None of these activities are an important part of my role at work
4451,8405,35-39,Woman,Master’s degree,Business Analyst,5-10 years,"30,000-39,999",1,,,,,,
4452,8407,30-34,Man,Doctoral degree,Data Scientist,10-20 years,"80,000-89,999",1,"1",1,,1,,
4454,8411,18-21,Man,Bachelor’s degree,Data Analyst,3-5 years,$0-999,1,"1",,,,,
4455,8413,30-34,Man,Master’s degree,Business Analyst,< 1 years,"50,000-59,999",1,,,,,,
4456,8414,25-29,Man,Master’s degree,Data Scientist,3-5 years,"50,000-59,999",1,"1",1,1,1,,
4457,8417,35-39,Man,Master’s degree,Data Analyst,10-20 years,"1,000-1,999",1,"1",,,,,
4458,8421,25-29,Man,Bachelor’s degree,Software Engineer,3-5 years,"2,000-2,999",,,,,,,None of these activities are an important part of my role at work
4459,8424,50-54,Man,Master’s degree,Data Scientist,20+ years,"150,000-199,999",1,,1,1,1,,
4460,8425,35-39,Man,Master’s degree,Data Analyst,5-10 years,"40,000-49,999",1,,,,,,
4461,8426,25-29,Man,Master’s degree,Data Engineer,1-2 years,"10,000-14,999",1,"1",1,1,,,
4462,8427,30-34,Man,Professional degree,Research Scientist,1-2 years,"10,000-14,999",,"1",1,,,,
4464,8430,40-44,Man,Doctoral degree,Data Scientist,5-10 years,"125,000-149,999",1,,1,1,1,1,
4465,8432,30-34,Man,Master’s degree,Software Engineer,10-20 years,"30,000-39,999",,,,,,,None of these activities are an important part of my role at work
4466,8433,25-29,Man,Master’s degree,Data Scientist,5-10 years,"20,000-24,999",,,1,1,1,,
4467,8434,30-34,Woman,Doctoral degree,Data Scientist,10-20 years,"150,000-199,999",1,"1",1,1,1,,
4468,8437,22-24,Man,Bachelor’s degree,Data Scientist,3-5 years,"4,000-4,999",1,"1",,1,,,
4469,8439,35-39,Man,Master’s degree,Software Engineer,10-20 years,"15,000-19,999",,,,,,,None of these activities are an important part of my role at work
4471,8442,35-39,Man,Master’s degree,Data Scientist,5-10 years,"15,000-19,999",1,,1,,1,1,
4472,8444,40-44,Man,Master’s degree,Data Engineer,10-20 years,"70,000-79,999",1,,,,,,
4473,8446,30-34,Man,Master’s degree,Data Scientist,5-10 years,"80,000-89,999",1,"1",1,1,,,
4475,8448,25-29,Man,Doctoral degree,Data Scientist,< 1 years,$0-999,1,"1",1,,,1,
4476,8451,30-34,Man,Master’s degree,Research Scientist,1-2 years,"30,000-39,999",1,,1,,,,
4477,8453,40-44,Man,Doctoral degree,Data Scientist,10-20 years,"50,000-59,999",1,,1,,1,,
4478,8454,25-29,Man,Professional degree,Data Scientist,< 1 years,"100,000-124,999",1,"1",1,1,1,1,
4479,8455,30-34,Woman,Master’s degree,Data Scientist,I have never written code,$0-999,,,,,,,
4480,8457,40-44,Man,Master’s degree,Data Engineer,10-20 years,"4,000-4,999",1,"1",1,,,,
4481,8458,40-44,Man,Master’s degree,Data Scientist,5-10 years,"125,000-149,999",1,"1",1,1,,,
4482,8460,22-24,Man,Master’s degree,Data Scientist,20+ years,$0-999,1,,,,,,
4483,8462,25-29,Man,Bachelor’s degree,Data Scientist,5-10 years,"15,000-19,999",1,,1,1,,,
4484,8463,25-29,Man,Master’s degree,Data Scientist,3-5 years,"5,000-7,499",1,"1",1,1,1,1,
4485,8465,30-34,Man,Master’s degree,Data Scientist,5-10 years,"80,000-89,999",1,"1",1,,1,1,
4486,8466,60-69,Man,Master’s degree,Data Analyst,< 1 years,"10,000-14,999",1,,,,,,
4487,8468,50-54,Man,Master’s degree,Data Scientist,10-20 years,"150,000-199,999",1,"1",,1,,1,
4489,8471,30-34,Woman,Master’s degree,Data Scientist,5-10 years,"100,000-124,999",1,"1",1,,,,
4490,8472,22-24,Woman,Bachelor’s degree,Machine Learning Engineer,3-5 years,$0-999,,,,,,,
4491,8475,60-69,Man,Doctoral degree,Research Scientist,10-20 years,"80,000-89,999",,,1,,,,
4492,8476,35-39,Man,Master’s degree,Data Analyst,3-5 years,$0-999,1,,,,,,
4493,8477,60-69,Man,Master’s degree,Business Analyst,< 1 years,"40,000-49,999",1,,,,,,
4494,8478,25-29,Man,Master’s degree,Data Scientist,1-2 years,$0-999,1,,,,,1,
4495,8479,30-34,Man,Master’s degree,Data Analyst,3-5 years,"70,000-79,999",1,"1",1,,,,
4496,8480,45-49,Man,Doctoral degree,Research Scientist,< 1 years,"30,000-39,999",,,,,,1,
4497,8481,55-59,Man,Doctoral degree,Research Scientist,10-20 years,"100,000-124,999",,,,1,,,
4499,8486,18-21,Man,Some college/university study without earning a bachelor’s degree,Data Scientist,20+ years,"30,000-39,999",1,,,,,,
4500,8488,18-21,Man,Some college/university study without earning a bachelor’s degree,Software Engineer,< 1 years,$0-999,1,"1",1,,,,
4501,8489,30-34,Man,Bachelor’s degree,Software Engineer,5-10 years,"15,000-19,999",1,,,,,,
4502,8492,35-39,Man,Bachelor’s degree,Machine Learning Engineer,5-10 years,"30,000-39,999",,"1",,,,,
4504,8496,30-34,Man,Master’s degree,Data Analyst,1-2 years,"1,000-1,999",1,,1,,1,,
4505,8497,30-34,Woman,Master’s degree,Data Scientist,3-5 years,"90,000-99,999",1,,,,,,
4506,8501,25-29,Man,Doctoral degree,Research Scientist,5-10 years,"60,000-69,999",,,1,,1,1,
4507,8502,22-24,Man,Master’s degree,Machine Learning Engineer,< 1 years,$0-999,1,,,,,,
4508,8504,35-39,Man,Master’s degree,Data Scientist,5-10 years,"100,000-124,999",1,,,1,1,1,
4509,8505,30-34,Man,Master’s degree,Product/Project Manager,< 1 years,"50,000-59,999",1,"1",,,,,
4511,8508,25-29,Man,Master’s degree,Data Scientist,1-2 years,"1,000-1,999",1,,,,,,
4512,8511,30-34,Woman,Bachelor’s degree,Business Analyst,3-5 years,"70,000-79,999",1,"1",,,,,
4513,8512,40-44,Man,Master’s degree,Data Scientist,< 1 years,"70,000-79,999",1,,1,1,,,
4514,8513,22-24,Man,Master’s degree,Machine Learning Engineer,1-2 years,$0-999,,,,,1,,
4515,8514,40-44,Man,Master’s degree,Business Analyst,5-10 years,"7,500-9,999",1,"1",,,,,
4516,8518,30-34,Man,Doctoral degree,Research Scientist,10-20 years,"100,000-124,999",,,,,,,None of these activities are an important part of my role at work
4517,8519,50-54,Man,Doctoral degree,Research Scientist,10-20 years,"2,000-2,999",,,1,,,,
4518,8521,40-44,Man,Master’s degree,Statistician,20+ years,"90,000-99,999",1,"1",1,1,1,1,
4520,8526,30-34,Man,Master’s degree,Data Scientist,10-20 years,"30,000-39,999",1,,1,1,1,,
4521,8527,35-39,Man,Some college/university study without earning a bachelor’s degree,Data Analyst,1-2 years,"90,000-99,999",1,,,,,,
4522,8528,25-29,Man,Bachelor’s degree,Software Engineer,5-10 years,"15,000-19,999",,,,,,,None of these activities are an important part of my role at work
4524,8533,40-44,Man,Bachelor’s degree,Product/Project Manager,5-10 years,$0-999,,,,,,,None of these activities are an important part of my role at work
4526,8535,35-39,Woman,Some college/university study without earning a bachelor’s degree,Software Engineer,10-20 years,"60,000-69,999",1,,,,,,
4527,8536,30-34,Man,Master’s degree,Data Scientist,5-10 years,"100,000-124,999",1,"1",1,1,1,,
4528,8540,45-49,Man,Master’s degree,DBA/Database Engineer,10-20 years,"50,000-59,999",,,,,,1,
4529,8542,22-24,Man,Bachelor’s degree,Data Scientist,5-10 years,"5,000-7,499",,"1",1,1,1,1,
4533,8550,25-29,Man,Master’s degree,Data Analyst,< 1 years,"5,000-7,499",1,"1",1,,,1,
4534,8551,50-54,Man,Master’s degree,Research Scientist,20+ years,"60,000-69,999",1,,,,1,1,
4535,8552,30-34,Man,Master’s degree,Data Scientist,1-2 years,"80,000-89,999",1,,,,,,
4536,8553,55-59,Man,Master’s degree,Machine Learning Engineer,20+ years,"150,000-199,999",,,1,,,,
4537,8556,30-34,Man,Master’s degree,Research Scientist,10-20 years,"70,000-79,999",1,,1,,,,
4538,8557,18-21,Man,Bachelor’s degree,Software Engineer,5-10 years,$0-999,,,,,,,None of these activities are an important part of my role at work
4540,8560,22-24,Man,Bachelor’s degree,Software Engineer,3-5 years,$0-999,1,,1,,1,,
4542,8563,22-24,Woman,Bachelor’s degree,Business Analyst,< 1 years,"1,000-1,999",1,"1",1,1,1,1,
4543,8565,55-59,Man,Some college/university study without earning a bachelor’s degree,Data Scientist,1-2 years,"90,000-99,999",1,,,,,,
4544,8570,25-29,Woman,Doctoral degree,Research Scientist,5-10 years,$0-999,1,,,,1,1,
4545,8571,40-44,Man,Doctoral degree,Research Scientist,10-20 years,"50,000-59,999",,,1,,,,
4546,8577,40-44,Man,Doctoral degree,Research Scientist,20+ years,"100,000-124,999",1,"1",1,,1,,
4547,8578,50-54,Man,Master’s degree,Business Analyst,3-5 years,"25,000-29,999",1,,,,,,
4548,8580,18-21,Woman,Bachelor’s degree,Data Scientist,1-2 years,$0-999,,"1",,,,,
4549,8581,45-49,Man,Master’s degree,Software Engineer,10-20 years,"20,000-24,999",,,1,,,,
4550,8582,30-34,Man,Master’s degree,DBA/Database Engineer,< 1 years,"4,000-4,999",1,,,,,,
4551,8583,35-39,Man,Professional degree,Machine Learning Engineer,3-5 years,"20,000-24,999",,"1",,,,,
4552,8588,50-54,Man,Master’s degree,Data Scientist,20+ years,"70,000-79,999",1,"1",,,,,
4553,8591,35-39,Woman,Bachelor’s degree,Product/Project Manager,1-2 years,"90,000-99,999",1,,,,,,
4554,8592,35-39,Man,Master’s degree,Data Scientist,3-5 years,"90,000-99,999",1,,1,1,,,
4555,8593,22-24,Man,Master’s degree,Business Analyst,1-2 years,"5,000-7,499",1,,1,1,1,,
4556,8601,25-29,Man,Master’s degree,Data Scientist,3-5 years,"70,000-79,999",1,"1",1,,1,1,
4557,8602,35-39,Man,Some college/university study without earning a bachelor’s degree,Data Analyst,3-5 years,"30,000-39,999",1,"1",,,,,
4558,8604,25-29,Man,Master’s degree,Machine Learning Engineer,10-20 years,"100,000-124,999",,,1,1,1,,
4559,8605,22-24,Man,Bachelor’s degree,Machine Learning Engineer,3-5 years,"10,000-14,999",1,"1",1,1,1,,
4561,8616,25-29,Man,Bachelor’s degree,Data Analyst,1-2 years,"5,000-7,499",1,"1",,,1,,
4562,8617,30-34,Man,Master’s degree,Data Scientist,5-10 years,"100,000-124,999",1,,1,1,,,
4563,8618,25-29,Man,Master’s degree,Data Scientist,3-5 years,"10,000-14,999",1,"1",1,1,1,,
4564,8621,25-29,Other,Master’s degree,Software Engineer,3-5 years,"15,000-19,999",1,"1",1,,,,
4565,8622,40-44,Man,Master’s degree,Software Engineer,10-20 years,"60,000-69,999",1,"1",,,,,
4566,8626,22-24,Man,I prefer not to answer,Data Analyst,< 1 years,$0-999,1,,,,,,
4567,8629,22-24,Man,Bachelor’s degree,Data Scientist,< 1 years,$0-999,,,,,,,
4568,8631,25-29,Man,Master’s degree,Business Analyst,< 1 years,"10,000-14,999",1,,,,1,,
4569,8633,25-29,Woman,Bachelor’s degree,Machine Learning Engineer,3-5 years,$0-999,,,,,,,
4570,8634,22-24,Man,Bachelor’s degree,Software Engineer,1-2 years,"1,000-1,999",,,,,,,None of these activities are an important part of my role at work
4571,8635,22-24,Woman,Bachelor’s degree,Business Analyst,I have never written code,"50,000-59,999",1,"1",,,,,
4572,8638,22-24,Man,Master’s degree,Machine Learning Engineer,3-5 years,"2,000-2,999",,,,,1,,
4573,8641,25-29,Man,Bachelor’s degree,Software Engineer,5-10 years,$0-999,,,,,,,
4574,8642,30-34,Man,Master’s degree,Product/Project Manager,10-20 years,"10,000-14,999",1,,,,,,
4575,8643,30-34,Man,Doctoral degree,Data Scientist,3-5 years,"10,000-14,999",1,,1,,,1,
4576,8644,18-21,Man,Bachelor’s degree,Data Analyst,5-10 years,"7,500-9,999",1,"1",1,,,,
4577,8646,55-59,Man,Bachelor’s degree,Business Analyst,10-20 years,"100,000-124,999",1,"1",,,,1,
4578,8647,25-29,Man,Bachelor’s degree,Machine Learning Engineer,3-5 years,"7,500-9,999",1,,1,,,,
4579,8648,25-29,Man,Bachelor’s degree,Software Engineer,1-2 years,"5,000-7,499",,,,1,,,
4580,8649,40-44,Man,Bachelor’s degree,Software Engineer,10-20 years,"40,000-49,999",,,,1,,,
4581,8650,35-39,Man,Bachelor’s degree,Software Engineer,3-5 years,"10,000-14,999",,,,,,,None of these activities are an important part of my role at work
4582,8651,30-34,Man,No formal education past high school,Machine Learning Engineer,5-10 years,"70,000-79,999",,,,1,1,,
4583,8652,25-29,Man,Master’s degree,Data Scientist,5-10 years,"30,000-39,999",1,"1",1,,,,
4584,8653,40-44,Man,Master’s degree,Data Analyst,I have never written code,"30,000-39,999",1,,,,,,
4585,8654,40-44,Man,Master’s degree,Data Analyst,1-2 years,"40,000-49,999",,"1",,,,,
4586,8655,35-39,Woman,Doctoral degree,Research Scientist,10-20 years,$0-999,,,,,,1,
4587,8656,35-39,Man,Doctoral degree,Research Scientist,10-20 years,"3,000-3,999",1,,1,,1,1,
4588,8657,40-44,Man,Bachelor’s degree,Product/Project Manager,3-5 years,"15,000-19,999",1,,,,,,
4589,8660,40-44,Woman,Doctoral degree,Research Scientist,10-20 years,"2,000-2,999",1,,,,,,
4590,8661,18-21,Woman,Bachelor’s degree,Statistician,3-5 years,$0-999,1,"1",,1,,,
4592,8665,55-59,Other,Bachelor’s degree,Product/Project Manager,5-10 years,"150,000-199,999",,,,,1,,
4594,8667,25-29,Man,Bachelor’s degree,Software Engineer,5-10 years,"5,000-7,499",,,,,,,None of these activities are an important part of my role at work
4595,8671,22-24,Man,Bachelor’s degree,Software Engineer,1-2 years,"5,000-7,499",,,,,,,None of these activities are an important part of my role at work
4598,8686,25-29,Man,Master’s degree,Data Scientist,5-10 years,"5,000-7,499",1,,,1,1,1,
4599,8688,25-29,Man,Bachelor’s degree,Software Engineer,5-10 years,"10,000-14,999",,,,,,,None of these activities are an important part of my role at work
4600,8690,35-39,Woman,Master’s degree,Statistician,5-10 years,"5,000-7,499",1,,,,,,
4601,8692,35-39,Man,Master’s degree,Software Engineer,10-20 years,"70,000-79,999",1,,,,,,
4602,8693,60-69,Man,Bachelor’s degree,Business Analyst,20+ years,"5,000-7,499",1,,,,,,
4603,8695,35-39,Man,Doctoral degree,Data Scientist,10-20 years,"70,000-79,999",1,,1,1,1,,
4604,8697,22-24,Man,Professional degree,Data Analyst,1-2 years,"3,000-3,999",1,,,,,,
4606,8700,35-39,Man,Master’s degree,Data Scientist,10-20 years,"100,000-124,999",1,"1",,1,1,,
4607,8703,25-29,Woman,Master’s degree,Data Analyst,1-2 years,"1,000-1,999",1,,,,,,
4608,8706,30-34,Woman,Master’s degree,Research Scientist,< 1 years,"10,000-14,999",,,,,,,None of these activities are an important part of my role at work
4609,8707,30-34,Man,Master’s degree,Data Scientist,5-10 years,"100,000-124,999",1,,1,1,1,,
4611,8709,25-29,Man,Master’s degree,Machine Learning Engineer,3-5 years,"5,000-7,499",,,1,,1,1,
4612,8717,25-29,Man,Bachelor’s degree,Software Engineer,5-10 years,"50,000-59,999",,"1",,,,,
4613,8719,40-44,Man,Doctoral degree,Research Scientist,1-2 years,$0-999,1,,,,1,,
4614,8720,25-29,Woman,Master’s degree,Machine Learning Engineer,< 1 years,$0-999,1,"1",1,1,1,,
4615,8723,35-39,Man,Doctoral degree,Data Scientist,10-20 years,"90,000-99,999",1,"1",1,1,,,
4616,8725,22-24,Woman,Bachelor’s degree,Data Scientist,1-2 years,$0-999,,,,,,,None of these activities are an important part of my role at work
4617,8726,30-34,Man,Some college/university study without earning a bachelor’s degree,Business Analyst,1-2 years,"10,000-14,999",1,"1",1,,,,
4618,8727,18-21,Man,Bachelor’s degree,Machine Learning Engineer,< 1 years,$0-999,,,,,,,
4619,8728,25-29,Woman,Professional degree,Data Analyst,1-2 years,"15,000-19,999",1,,1,,1,1,
4620,8730,25-29,Woman,Bachelor’s degree,Software Engineer,I have never written code,"5,000-7,499",,,,,,,None of these activities are an important part of my role at work
4621,8731,40-44,Man,Bachelor’s degree,Business Analyst,20+ years,"200,000-249,999",1,"1",,1,,,
4622,8732,50-54,Woman,Doctoral degree,Research Scientist,20+ years,$0-999,,,,,,1,
4623,8733,18-21,Man,Master’s degree,Software Engineer,3-5 years,"15,000-19,999",,,1,1,1,1,
4624,8734,22-24,Woman,Professional degree,Software Engineer,3-5 years,$0-999,,,,,,,
4625,8735,30-34,Woman,Doctoral degree,Data Scientist,5-10 years,"40,000-49,999",1,,1,,,1,
4626,8738,35-39,Man,Bachelor’s degree,Machine Learning Engineer,10-20 years,"100,000-124,999",1,,1,,1,,
4631,8748,35-39,Man,Doctoral degree,Data Analyst,5-10 years,"50,000-59,999",1,,,,,,
4632,8749,22-24,Man,Bachelor’s degree,Data Analyst,3-5 years,"7,500-9,999",1,"1",1,1,1,1,
4633,8750,25-29,Man,Master’s degree,Machine Learning Engineer,3-5 years,"> $500,000",1,,1,1,1,1,
4634,8751,22-24,Woman,Master’s degree,Data Analyst,3-5 years,"60,000-69,999",1,"1",1,,1,,
4636,8756,35-39,Man,Master’s degree,Software Engineer,5-10 years,"1,000-1,999",1,,,,1,,
4637,8759,22-24,Man,Bachelor’s degree,Machine Learning Engineer,3-5 years,$0-999,1,"1",1,1,,,
4638,8762,50-54,Man,Bachelor’s degree,Data Analyst,20+ years,"90,000-99,999",1,,,,,,
4641,8778,35-39,Woman,Doctoral degree,Statistician,1-2 years,$0-999,1,"1",1,1,,1,
4643,8781,25-29,Man,Master’s degree,Data Analyst,3-5 years,"20,000-24,999",1,"1",1,1,1,1,
4644,8783,25-29,Woman,Master’s degree,Machine Learning Engineer,3-5 years,"60,000-69,999",1,"1",,,,,
4645,8786,25-29,Man,Master’s degree,Data Analyst,3-5 years,"70,000-79,999",1,"1",,,,,
4646,8787,35-39,Man,Master’s degree,Data Analyst,3-5 years,"60,000-69,999",1,,,,,,
4647,8788,25-29,Man,Master’s degree,Data Analyst,1-2 years,"40,000-49,999",1,"1",,,,,
4648,8789,22-24,Man,Bachelor’s degree,Data Analyst,1-2 years,"3,000-3,999",1,,,,,1,
4649,8791,50-54,Man,Master’s degree,Software Engineer,20+ years,$0-999,1,,1,,1,,
4652,8794,30-34,Woman,Bachelor’s degree,Data Scientist,5-10 years,"3,000-3,999",1,,1,1,1,1,
4653,8796,25-29,Man,Master’s degree,Machine Learning Engineer,1-2 years,"4,000-4,999",,"1",,1,,1,
4655,8801,22-24,Man,Master’s degree,Data Scientist,1-2 years,"10,000-14,999",1,,,,1,1,
4656,8803,18-21,Woman,Bachelor’s degree,Software Engineer,3-5 years,$0-999,,,,,,,
4657,8804,18-21,Woman,Bachelor’s degree,Machine Learning Engineer,1-2 years,$0-999,,,,1,,1,
4658,8805,30-34,Man,Doctoral degree,Research Scientist,5-10 years,$0-999,,,,,,,None of these activities are an important part of my role at work
4659,8807,22-24,Woman,Bachelor’s degree,Software Engineer,3-5 years,"4,000-4,999",,,,,,,
4660,8808,30-34,Man,Professional degree,Software Engineer,10-20 years,"10,000-14,999",,,,,,1,
4661,8810,22-24,Man,Master’s degree,Machine Learning Engineer,1-2 years,"10,000-14,999",1,"1",,,1,1,
4662,8813,22-24,Man,Master’s degree,Machine Learning Engineer,1-2 years,$0-999,,,1,1,1,,
4663,8815,25-29,Man,Bachelor’s degree,Software Engineer,1-2 years,"90,000-99,999",,,,,,,
4664,8817,30-34,Man,Doctoral degree,Research Scientist,10-20 years,"90,000-99,999",,"1",,,,,
4666,8819,22-24,Man,Master’s degree,Software Engineer,5-10 years,"10,000-14,999",1,,1,,,1,
4667,8822,45-49,Man,Master’s degree,Business Analyst,I have never written code,$0-999,1,,,,,,
4668,8824,25-29,Man,Master’s degree,Research Scientist,3-5 years,"3,000-3,999",,,,,,,None of these activities are an important part of my role at work
4669,8825,50-54,Man,Doctoral degree,Research Scientist,20+ years,"150,000-199,999",,,1,,,,
4671,8828,30-34,Man,Bachelor’s degree,Data Analyst,I have never written code,"10,000-14,999",,,,,,,None of these activities are an important part of my role at work
4672,8829,22-24,Man,Master’s degree,Data Scientist,3-5 years,"5,000-7,499",1,"1",1,,,,
4673,8830,30-34,Man,Doctoral degree,Data Scientist,10-20 years,"60,000-69,999",1,,1,,1,,
4674,8831,30-34,Man,Master’s degree,Business Analyst,5-10 years,"40,000-49,999",1,,,1,,,
4675,8832,30-34,Man,Bachelor’s degree,Software Engineer,3-5 years,$0-999,1,,1,,1,1,
4676,8835,22-24,Man,Some college/university study without earning a bachelor’s degree,Data Analyst,1-2 years,"30,000-39,999",,,,,,,None of these activities are an important part of my role at work
4677,8836,30-34,Man,Bachelor’s degree,Data Analyst,3-5 years,"20,000-24,999",1,"1",,,,,
4679,8838,40-44,Man,Some college/university study without earning a bachelor’s degree,Data Analyst,3-5 years,"30,000-39,999",1,"1",1,1,1,1,
4680,8841,30-34,Man,Master’s degree,Data Scientist,5-10 years,"150,000-199,999",1,"1",1,,1,,
4681,8842,40-44,Woman,Doctoral degree,Data Scientist,10-20 years,"50,000-59,999",1,"1",1,1,1,,
4682,8843,25-29,Woman,Bachelor’s degree,DBA/Database Engineer,< 1 years,"10,000-14,999",,,,,,,None of these activities are an important part of my role at work
4683,8844,35-39,Man,Master’s degree,Data Scientist,5-10 years,"100,000-124,999",1,,1,1,1,,
4684,8846,35-39,Man,Master’s degree,Data Scientist,< 1 years,"15,000-19,999",,,,,1,1,
4685,8847,25-29,Man,Bachelor’s degree,Business Analyst,3-5 years,"25,000-29,999",,"1",1,1,,,
4686,8848,35-39,Man,Bachelor’s degree,Software Engineer,10-20 years,"20,000-24,999",,,,,,,None of these activities are an important part of my role at work
4687,8849,60-69,Man,Master’s degree,Machine Learning Engineer,20+ years,"200,000-249,999",1,"1",1,1,,,
4688,8850,55-59,Man,Master’s degree,Software Engineer,20+ years,"70,000-79,999",,,,,,,None of these activities are an important part of my role at work
4689,8851,40-44,Man,Some college/university study without earning a bachelor’s degree,Data Engineer,20+ years,"30,000-39,999",1,"1",1,1,1,1,
4690,8854,30-34,Man,Master’s degree,Data Scientist,3-5 years,"70,000-79,999",1,,,,,,
4691,8855,22-24,Woman,Doctoral degree,Research Scientist,3-5 years,$0-999,1,,,,,,
4692,8856,25-29,Man,Bachelor’s degree,Business Analyst,I have never written code,$0-999,1,,,,,,
4693,8857,35-39,Man,Master’s degree,Software Engineer,10-20 years,"60,000-69,999",1,,1,1,,1,
4694,8863,30-34,Man,Doctoral degree,Research Scientist,< 1 years,"3,000-3,999",,,1,,,,
4696,8871,30-34,Man,Master’s degree,Product/Project Manager,5-10 years,"2,000-2,999",1,"1",,,1,1,
4697,8872,25-29,Man,Bachelor’s degree,Software Engineer,3-5 years,"1,000-1,999",,,,,,,None of these activities are an important part of my role at work
4698,8873,22-24,Man,Bachelor’s degree,Software Engineer,< 1 years,"7,500-9,999",,,,,,,None of these activities are an important part of my role at work
4699,8874,35-39,Man,Doctoral degree,Data Scientist,1-2 years,"150,000-199,999",1,"1",1,,,,
4700,8880,25-29,Man,Master’s degree,Data Scientist,3-5 years,$0-999,1,"1",1,1,1,1,
4701,8882,35-39,Man,Doctoral degree,Research Scientist,10-20 years,"1,000-1,999",1,,1,,1,1,
4702,8883,55-59,Man,Master’s degree,Product/Project Manager,10-20 years,"80,000-89,999",1,,,1,1,1,
4703,8884,25-29,Man,Doctoral degree,Data Scientist,5-10 years,"1,000-1,999",1,"1",1,1,1,1,
4704,8885,55-59,Man,Master’s degree,Data Scientist,20+ years,"150,000-199,999",1,"1",1,,1,,
4706,8889,18-21,Man,I prefer not to answer,Data Scientist,3-5 years,$0-999,1,,,,1,,
4707,8890,30-34,Man,Bachelor’s degree,Software Engineer,3-5 years,"50,000-59,999",,,,1,1,,
4708,8893,22-24,Man,Professional degree,Statistician,1-2 years,$0-999,,,,,,,None of these activities are an important part of my role at work
4711,8898,22-24,Man,Master’s degree,Software Engineer,3-5 years,$0-999,,,,,,,
